,temp=27.275909090909096,temp=28.18477272727273,temp=29.093636363636367,temp=30.002500000000005,temp=30.91136363636364,temp=31.820227272727276,temp=32.72909090909091,temp=33.63795454545455,temp=34.54681818181818,temp=35.455681818181816,temp=36.36454545454546,temp=37.27340909090909,temp=38.182272727272725,temp=39.091136363636366,temp=40.0
0,0.875,0.875,0.875,1.0,0.875,1.0,1.0,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.875
1,0.75,1.0,0.75,0.875,0.75,0.875,0.875,0.75,0.75,0.75,1.0,0.875,0.875,0.875,0.75
2,0.875,0.875,0.625,0.75,0.625,0.75,0.75,0.625,0.625,0.625,0.875,0.75,0.75,0.75,0.625
3,0.875,0.75,0.5,0.875,0.5,0.625,0.625,0.5,0.625,0.5,0.75,0.625,0.625,0.625,0.75
4,0.75,0.625,0.625,0.75,0.375,0.5,0.625,0.375,0.75,0.375,0.625,0.5,0.5,0.75,0.625
5,0.625,0.5,0.5,0.875,0.25,0.625,0.625,0.5,0.625,0.375,0.5,0.375,0.375,0.625,0.75
6,0.75,0.625,0.625,0.75,0.375,0.75,0.5,0.625,0.5,0.25,0.375,0.25,0.25,0.75,0.625
7,0.875,0.5,0.5,0.625,0.25,0.875,0.625,0.5,0.5,0.125,0.25,0.125,0.125,0.625,0.5
8,0.875,0.375,0.375,0.625,0.125,0.75,0.5,0.625,0.625,0.25,0.125,0.25,0.25,0.625,0.375
9,0.875,0.25,0.25,0.5,0.25,0.625,0.375,0.5,0.75,0.25,0.0,0.375,0.375,0.5,0.25
10,0.75,0.125,0.375,0.375,0.375,0.5,0.5,0.625,0.625,0.125,0.125,0.5,0.25,0.375,0.125
11,0.625,0.0,0.25,0.25,0.25,0.375,0.5,0.75,0.5,0.0,0.0,0.5,0.375,0.25,0.0
12,0.625,0.125,0.125,0.375,0.375,0.5,0.625,0.875,0.375,0.125,0.125,0.625,0.5,0.125,0.125
13,0.5,0.25,0.25,0.25,0.5,0.375,0.625,0.75,0.5,0.0,0.0,0.5,0.375,0.25,0.0
14,0.375,0.125,0.125,0.375,0.375,0.25,0.5,0.75,0.375,0.125,0.125,0.375,0.25,0.125,0.125
15,0.25,0.0,0.0,0.25,0.5,0.125,0.375,0.625,0.25,0.25,0.0,0.25,0.375,0.0,0.0
16,0.375,0.125,0.125,0.125,0.5,0.25,0.25,0.5,0.375,0.375,0.125,0.375,0.5,0.125,0.125
17,0.25,0.25,0.0,0.0,0.625,0.125,0.125,0.375,0.25,0.25,0.0,0.25,0.375,0.0,0.0
18,0.125,0.25,0.125,0.125,0.5,0.0,0.25,0.25,0.125,0.375,0.125,0.125,0.25,0.125,0.125
19,0.0,0.125,0.25,0.25,0.375,0.125,0.25,0.125,0.0,0.5,0.25,0.0,0.125,0.0,0.25
20,0.125,0.0,0.125,0.375,0.25,0.0,0.375,0.0,0.125,0.5,0.125,0.125,0.25,0.125,0.125
21,0.0,0.0,0.0,0.5,0.375,0.125,0.25,0.125,0.0,0.625,0.25,0.0,0.125,0.25,0.0
22,0.125,0.125,0.125,0.625,0.5,0.25,0.375,0.25,0.0,0.5,0.125,0.125,0.0,0.375,0.125
23,0.25,0.0,0.0,0.75,0.375,0.125,0.25,0.125,0.125,0.375,0.125,0.25,0.125,0.5,0.0
24,0.125,0.125,0.125,0.625,0.25,0.25,0.125,0.0,0.0,0.25,0.0,0.125,0.0,0.375,0.125
25,0.0,0.25,0.25,0.5,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.5,0.0
26,0.125,0.125,0.125,0.5,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.375,0.125
27,0.0,0.0,0.25,0.375,0.125,0.125,0.25,0.125,0.125,0.125,0.0,0.25,0.125,0.5,0.0
28,0.125,0.125,0.125,0.5,0.25,0.25,0.375,0.25,0.0,0.25,0.125,0.125,0.0,0.5,0.125
29,0.25,0.25,0.0,0.375,0.125,0.125,0.25,0.375,0.125,0.125,0.25,0.0,0.125,0.375,0.25
30,0.125,0.125,0.125,0.25,0.25,0.25,0.125,0.5,0.0,0.25,0.375,0.125,0.25,0.5,0.375
31,0.0,0.0,0.25,0.125,0.125,0.125,0.0,0.625,0.125,0.375,0.25,0.0,0.125,0.625,0.5
32,0.125,0.125,0.375,0.25,0.0,0.25,0.125,0.5,0.0,0.25,0.125,0.125,0.0,0.5,0.5
33,0.0,0.0,0.5,0.375,0.125,0.125,0.0,0.625,0.125,0.375,0.0,0.0,0.125,0.375,0.375
34,0.125,0.125,0.5,0.375,0.0,0.25,0.125,0.75,0.25,0.25,0.125,0.125,0.0,0.375,0.25
35,0.25,0.0,0.5,0.25,0.125,0.125,0.0,0.625,0.125,0.375,0.0,0.0,0.125,0.5,0.375
36,0.375,0.125,0.375,0.375,0.0,0.0,0.125,0.5,0.25,0.25,0.125,0.125,0.0,0.625,0.5
37,0.25,0.0,0.25,0.25,0.0,0.125,0.25,0.625,0.125,0.375,0.0,0.25,0.125,0.5,0.375
38,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.5,0.0,0.25,0.125,0.125,0.0,0.375,0.5
39,0.0,0.25,0.25,0.25,0.0,0.125,0.25,0.5,0.125,0.125,0.25,0.0,0.125,0.5,0.375
40,0.125,0.125,0.125,0.375,0.125,0.0,0.125,0.625,0.25,0.0,0.375,0.125,0.25,0.625,0.25
41,0.25,0.0,0.0,0.25,0.25,0.125,0.0,0.5,0.375,0.125,0.25,0.0,0.125,0.5,0.375
42,0.375,0.125,0.125,0.125,0.125,0.0,0.125,0.625,0.5,0.0,0.375,0.125,0.25,0.375,0.25
43,0.25,0.25,0.0,0.0,0.0,0.125,0.25,0.5,0.375,0.125,0.5,0.25,0.375,0.5,0.375
