,temp=0.01,temp=2.8664285714285715,temp=5.722857142857143,temp=8.579285714285716,temp=11.435714285714287,temp=14.292142857142858,temp=17.148571428571433,temp=20.005000000000003,temp=22.861428571428576,temp=25.71785714285715,temp=28.57428571428572,temp=31.43071428571429,temp=34.28714285714286,temp=37.143571428571434,temp=40.0
0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0
1,1.0,0.75,0.875,0.75,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875
2,1.0,0.75,0.75,0.75,0.875,0.875,0.75,0.75,0.875,0.875,0.75,0.75,0.875,0.875,0.875
3,1.0,0.75,0.75,0.75,0.75,0.75,0.875,0.75,0.875,0.75,0.75,0.875,0.875,0.875,0.875
4,1.0,0.75,0.875,0.75,0.75,0.875,0.75,0.875,1.0,0.875,0.875,0.875,0.75,0.875,0.875
5,1.0,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.875
6,1.0,0.875,0.75,0.875,1.0,0.875,0.75,0.75,0.875,0.875,0.75,0.875,0.75,0.875,0.875
7,1.0,0.75,0.75,0.75,0.875,0.875,0.875,0.75,0.875,0.75,0.875,0.875,1.0,0.875,0.875
8,1.0,1.0,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.875,0.75,1.0,1.0,0.875,1.0
9,1.0,0.875,0.875,0.75,0.875,0.875,0.875,0.75,1.0,0.875,0.875,1.0,0.875,0.875,0.875
10,1.0,0.75,1.0,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.875,0.75,1.0
11,1.0,0.75,1.0,0.75,0.75,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
12,1.0,0.75,0.875,0.75,0.875,0.875,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.75,0.875
13,1.0,0.75,0.75,0.875,0.875,0.75,0.75,0.875,0.75,0.875,0.875,0.75,0.875,0.875,0.875
14,1.0,1.0,0.75,0.875,0.75,0.875,0.875,0.875,0.875,0.75,0.75,0.875,0.875,0.875,0.875
15,1.0,0.875,0.875,0.75,0.875,0.875,0.875,0.75,0.875,0.875,0.875,0.875,0.875,0.875,0.875
