,Number of Sites Chosen,Starting Point,Magnetization,Standard Deviation,time (s)
0,2,st: 0000001000100000,0.9999,0.00432897216438267,2349.2136676311493
1,1,st: 0000000000000001,0.9997625,0.005443445025900419,2359.5887367725372
2,6,st: 0000010001010101,0.9993625,0.011841393235172961,2351.7100529670715
3,13,st: 1011101111011111,0.9824875,0.08104512535464425,2433.931474685669
4,9,st: 1101010101011110,0.90454375,0.17494591474492194,2399.0664854049683
5,13,st: 1111111111001110,0.79985,0.23467592548022473,2409.0796842575073
6,8,st: 0101001110110000,0.58154375,0.29632618950396117,2408.2638874053955
7,7,st: 0101000100011010,0.48845625,0.28697564894244515,2404.1106691360474
8,4,st: 0101011000000100,0.41319375,0.26521480673397085,2399.7036006450653
9,6,st: 0110001000101011,0.3679625,0.25147472257415854,2395.477194786072
10,15,st: 1001111111111111,0.3287,0.23391384097568918,2400.6267812252045
11,16,st: 1111111111111111,0.3281875,0.23447247139856311,2418.4653985500336
12,12,st: 1110111110011111,0.305525,0.21908140467643528,2402.3995304107666
13,11,st: 1111011111111000,0.29391875,0.21875011348211343,2942.745862722397
14,7,st: 0111010000001011,0.28263125,0.21023435202991328,2403.9401886463165
15,11,st: 1101101101111101,0.2714875,0.20233598257292248,2403.557942390442
16,4,st: 0010001001000000,0.26470625,0.19327395054931096,2402.253906726837
17,12,st: 1111001011111101,0.26889375,0.20275461144185475,2406.1227259635925
18,2,st: 0000000001000001,0.2500125,0.1907305031811902,2420.6648495197296
19,7,st: 0000101100100101,0.2558875,0.19212144555918267,2451.451198577881
20,3,st: 0000001001001000,0.24970625,0.1922703369241795,2454.014281988144
21,3,st: 0010010001000100,0.24433125,0.18765799083289125,2479.5204784870148
22,6,st: 1000001011000001,0.2383125,0.182643682737044,2449.8688490390778
23,12,st: 1110111111110110,0.24124375,0.18667916149355693,2437.8872561454773
24,1,st: 0000000000000000,0.240675,0.18120839350041157,2432.530178785324
25,16,st: 1111110111111111,0.23340625,0.17862878046646766,2323.672551393509
26,1,st: 0000000000000000,0.23855,0.18175401646181027,1417.4354131221771
27,5,st: 0101010001010001,0.2381,0.18251442408752247,1488.3270654678345
28,15,st: 1111110111111111,0.23001875,0.17615236557718292,1429.1568956375122
29,5,st: 0011110000011000,0.229375,0.17477105559846,1405.0083050727844
30,15,st: 1111111111111111,0.2318,0.17984805392330497,1427.7060885429382
