,kT=0.01,kT=0.7989473684210526,kT=1.5878947368421052,kT=2.3768421052631576,kT=3.1657894736842103,kT=3.954736842105263,kT=4.7436842105263155,kT=5.532631578947369,kT=6.321578947368421,kT=7.110526315789473,kT=7.899473684210526,kT=8.688421052631579,kT=9.477368421052631,kT=10.266315789473683,kT=11.055263157894737,kT=11.84421052631579,kT=12.633157894736842,kT=13.422105263157894,kT=14.211052631578946,kT=15.0
0,0.125,0.25,0.25,0.125,0,0.75,0.25,0.25,0,0.375,0.25,0.25,0.375,0.125,0,0,0,0.125,0.125,0.375
1,0.125,0,0.5,0.125,0,0,0.25,0.375,0.125,0.125,0.375,0.125,0.125,0,0.25,0,0,0,0.125,0.25
2,0.25,0.25,0.125,0,0.125,0.125,0.375,0.25,0.625,0.125,0.375,0.125,0.5,0,0,0,0.125,0.125,0.125,0.25
3,0.125,0.375,0.25,0.125,0.125,0.625,0,0,0.25,0,0,0.5,0.125,0,0,0.125,0.125,0,0.375,0.125
4,0.25,0.125,0.375,0.25,0.125,0.25,0.125,0.375,0,0.25,0.25,0.25,0.125,0.125,0.375,0.125,0.25,0,0.125,0.125
5,0,0.125,0.375,0,0.125,0.125,0.25,0.375,0.125,0,0.5,0.125,0,0.375,0.25,0,0.125,0.5,0,0.25
6,0.25,0.125,0.375,0.125,0.125,0.25,0,0.375,0.25,0,0.5,0.25,0.375,0.125,0.25,0.125,0,0.5,0,0.25
7,0.25,0.25,0.375,0.125,0.375,0.125,0.375,0.125,0.125,0.125,0,0,0.25,0,0,0.25,0.25,0.125,0.5,0.125
8,0,0.25,0,0.125,0.25,0.125,0,0,0.125,0,0.25,0.125,0,0.25,0.125,0.25,0.125,0.25,0,0.125
9,0.125,0.5,0.125,0,0.375,0.25,0.25,0,0.125,0,0,0.125,0.125,0.25,0.125,0.125,0.125,0.375,0.125,0.125
,0.15,0.225,0.275,0.1,0.1625,0.2625,0.1875,0.2125,0.175,0.1,0.25,0.1875,0.2,0.125,0.1375,0.1,0.1125,0.2,0.15,0.2
