,temp=0.01,temp=1.0807142857142857,temp=2.1514285714285712,temp=3.222142857142857,temp=4.292857142857143,temp=5.363571428571428,temp=6.434285714285714,temp=7.505,temp=8.575714285714286,temp=9.64642857142857,temp=10.717142857142857,temp=11.787857142857144,temp=12.858571428571429,temp=13.929285714285713,temp=15.0
0,0.125,1.0,1.0,0.25,0.375,0.125,0.25,0.125,0.625,0.25,0.375,0.125,0.25,0.25,0.0
1,0.0,1.0,1.0,0.25,0.25,0.0,0.125,0.125,0.5,0.125,0.5,0.0,0.25,0.125,0.125
2,0.0,1.0,1.0,0.25,0.125,0.125,0.0,0.25,0.625,0.25,0.375,0.125,0.125,0.25,0.25
3,0.0,1.0,1.0,0.125,0.125,0.0,0.125,0.125,0.75,0.125,0.25,0.0,0.0,0.125,0.375
4,0.0,1.0,1.0,0.25,0.125,0.125,0.0,0.0,0.75,0.25,0.125,0.125,0.125,0.25,0.25
5,0.0,1.0,1.0,0.375,0.0,0.0,0.125,0.125,0.625,0.25,0.25,0.25,0.125,0.125,0.25
6,0.0,1.0,1.0,0.375,0.0,0.125,0.25,0.25,0.625,0.125,0.125,0.125,0.125,0.25,0.125
7,0.0,1.0,1.0,0.5,0.125,0.0,0.125,0.375,0.5,0.25,0.25,0.25,0.0,0.375,0.25
8,0.125,1.0,1.0,0.5,0.0,0.125,0.25,0.375,0.5,0.125,0.375,0.375,0.125,0.25,0.125
9,0.125,1.0,1.0,0.625,0.125,0.25,0.375,0.25,0.5,0.0,0.5,0.5,0.25,0.125,0.25
10,0.125,1.0,1.0,0.625,0.0,0.375,0.25,0.125,0.375,0.125,0.625,0.5,0.25,0.0,0.125
11,0.125,1.0,1.0,0.75,0.125,0.375,0.25,0.25,0.25,0.0,0.5,0.5,0.25,0.125,0.0
12,0.25,1.0,1.0,0.75,0.25,0.375,0.375,0.25,0.125,0.0,0.375,0.375,0.375,0.25,0.125
13,0.125,1.0,1.0,0.75,0.125,0.25,0.5,0.125,0.25,0.125,0.25,0.375,0.5,0.25,0.125
14,0.25,1.0,1.0,0.625,0.125,0.375,0.375,0.0,0.375,0.0,0.125,0.5,0.625,0.125,0.25
15,0.375,1.0,1.0,0.5,0.0,0.5,0.5,0.125,0.25,0.125,0.0,0.5,0.625,0.0,0.125
16,0.375,1.0,1.0,0.375,0.125,0.375,0.5,0.25,0.125,0.0,0.125,0.375,0.625,0.125,0.0
17,0.5,1.0,1.0,0.25,0.125,0.25,0.5,0.375,0.25,0.125,0.0,0.25,0.625,0.125,0.125
18,0.375,1.0,1.0,0.25,0.0,0.375,0.625,0.5,0.125,0.25,0.125,0.375,0.5,0.25,0.25
19,0.375,1.0,1.0,0.375,0.0,0.25,0.625,0.375,0.0,0.375,0.0,0.5,0.5,0.375,0.125
20,0.375,1.0,1.0,0.375,0.0,0.125,0.5,0.375,0.125,0.25,0.125,0.625,0.5,0.5,0.25
21,0.375,1.0,1.0,0.375,0.125,0.0,0.5,0.375,0.0,0.125,0.0,0.625,0.375,0.375,0.125
22,0.375,1.0,1.0,0.25,0.0,0.125,0.375,0.25,0.125,0.0,0.125,0.5,0.375,0.5,0.0
23,0.5,1.0,1.0,0.25,0.125,0.125,0.25,0.375,0.25,0.125,0.25,0.375,0.5,0.5,0.125
24,0.375,1.0,1.0,0.375,0.25,0.0,0.25,0.25,0.125,0.0,0.125,0.375,0.5,0.375,0.0
25,0.375,1.0,1.0,0.375,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.25,0.375,0.25,0.0
26,0.375,1.0,1.0,0.25,0.0,0.25,0.0,0.25,0.125,0.25,0.125,0.375,0.5,0.125,0.125
27,0.375,1.0,1.0,0.25,0.125,0.375,0.125,0.25,0.25,0.125,0.25,0.25,0.375,0.0,0.0
28,0.375,1.0,1.0,0.25,0.0,0.375,0.125,0.125,0.125,0.25,0.125,0.125,0.25,0.0,0.125
29,0.375,1.0,1.0,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.25,0.25,0.125,0.125,0.25
30,0.375,1.0,1.0,0.0,0.125,0.25,0.125,0.125,0.125,0.25,0.375,0.125,0.0,0.25,0.125
31,0.375,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,0.375,0.375,0.0,0.125,0.375,0.0
32,0.5,1.0,1.0,0.0,0.375,0.375,0.125,0.125,0.125,0.5,0.5,0.125,0.0,0.25,0.125
33,0.5,1.0,1.0,0.0,0.5,0.375,0.0,0.25,0.125,0.375,0.5,0.25,0.125,0.125,0.25
34,0.5,1.0,1.0,0.0,0.5,0.25,0.125,0.375,0.25,0.25,0.5,0.375,0.0,0.25,0.375
35,0.5,1.0,1.0,0.0,0.5,0.125,0.25,0.25,0.125,0.125,0.375,0.5,0.125,0.125,0.25
36,0.625,1.0,1.0,0.0,0.5,0.25,0.125,0.375,0.125,0.125,0.25,0.5,0.25,0.0,0.375
37,0.625,1.0,1.0,0.0,0.375,0.375,0.25,0.375,0.25,0.25,0.125,0.375,0.125,0.0,0.25
38,0.75,1.0,1.0,0.0,0.375,0.375,0.125,0.5,0.375,0.375,0.25,0.5,0.0,0.125,0.375
39,0.75,1.0,1.0,0.0,0.25,0.5,0.0,0.5,0.375,0.5,0.375,0.375,0.125,0.25,0.25
40,0.75,1.0,1.0,0.125,0.125,0.375,0.125,0.375,0.5,0.5,0.25,0.25,0.0,0.375,0.125
41,0.75,1.0,1.0,0.0,0.25,0.25,0.25,0.5,0.375,0.5,0.375,0.25,0.125,0.25,0.0
42,0.75,1.0,1.0,0.125,0.125,0.25,0.125,0.5,0.25,0.375,0.25,0.375,0.0,0.125,0.125
43,0.75,1.0,1.0,0.125,0.125,0.375,0.0,0.375,0.25,0.5,0.125,0.25,0.125,0.25,0.0
44,0.75,1.0,1.0,0.25,0.125,0.5,0.125,0.375,0.125,0.375,0.25,0.125,0.0,0.375,0.125
45,0.75,1.0,1.0,0.25,0.25,0.625,0.0,0.5,0.0,0.5,0.375,0.25,0.125,0.25,0.0
46,0.75,1.0,1.0,0.125,0.125,0.5,0.125,0.375,0.125,0.5,0.25,0.125,0.25,0.375,0.0
47,0.875,1.0,1.0,0.125,0.25,0.5,0.0,0.375,0.0,0.375,0.375,0.0,0.125,0.25,0.125
48,0.875,1.0,1.0,0.25,0.125,0.375,0.125,0.375,0.125,0.375,0.5,0.125,0.0,0.125,0.25
49,0.875,1.0,1.0,0.125,0.25,0.25,0.125,0.5,0.25,0.25,0.625,0.25,0.125,0.0,0.375
50,0.875,1.0,1.0,0.125,0.25,0.375,0.125,0.375,0.25,0.125,0.5,0.125,0.0,0.125,0.375
51,0.875,1.0,1.0,0.25,0.25,0.25,0.0,0.375,0.375,0.0,0.375,0.0,0.125,0.125,0.25
52,0.875,1.0,1.0,0.375,0.375,0.125,0.125,0.375,0.5,0.0,0.375,0.125,0.125,0.25,0.125
53,0.875,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.375,0.125,0.375,0.0,0.25,0.375,0.0
54,0.875,1.0,1.0,0.5,0.125,0.125,0.375,0.25,0.5,0.0,0.375,0.125,0.125,0.25,0.125
55,0.875,1.0,1.0,0.375,0.25,0.25,0.5,0.375,0.375,0.125,0.25,0.0,0.0,0.125,0.125
56,0.875,1.0,1.0,0.25,0.125,0.25,0.375,0.25,0.375,0.0,0.125,0.125,0.125,0.25,0.25
57,0.875,1.0,1.0,0.25,0.25,0.375,0.5,0.125,0.5,0.125,0.25,0.25,0.25,0.375,0.125
58,0.875,1.0,1.0,0.25,0.125,0.5,0.375,0.125,0.5,0.25,0.125,0.125,0.375,0.375,0.25
59,0.875,1.0,1.0,0.25,0.25,0.375,0.375,0.25,0.375,0.125,0.25,0.25,0.5,0.25,0.125
60,0.875,1.0,1.0,0.375,0.125,0.5,0.375,0.375,0.5,0.0,0.125,0.375,0.625,0.125,0.0
61,0.875,1.0,1.0,0.375,0.125,0.375,0.5,0.375,0.375,0.125,0.25,0.25,0.625,0.0,0.125
62,0.875,1.0,1.0,0.5,0.0,0.375,0.375,0.5,0.5,0.0,0.125,0.375,0.5,0.125,0.0
63,0.875,1.0,1.0,0.375,0.125,0.5,0.375,0.375,0.375,0.125,0.25,0.5,0.625,0.0,0.125
64,0.875,1.0,1.0,0.5,0.0,0.375,0.5,0.25,0.25,0.0,0.125,0.375,0.75,0.125,0.25
65,0.875,1.0,1.0,0.375,0.125,0.25,0.375,0.125,0.125,0.125,0.25,0.375,0.75,0.25,0.125
66,0.875,1.0,1.0,0.25,0.125,0.375,0.5,0.25,0.0,0.25,0.125,0.25,0.625,0.375,0.0
67,0.875,1.0,1.0,0.125,0.25,0.25,0.375,0.125,0.125,0.125,0.25,0.125,0.5,0.5,0.125
68,0.875,1.0,1.0,0.125,0.125,0.25,0.25,0.25,0.0,0.25,0.375,0.0,0.625,0.375,0.25
69,0.875,1.0,1.0,0.25,0.0,0.25,0.125,0.125,0.125,0.125,0.5,0.125,0.5,0.25,0.125
70,0.875,1.0,1.0,0.375,0.125,0.125,0.25,0.0,0.0,0.0,0.375,0.0,0.5,0.25,0.0
71,0.875,1.0,1.0,0.375,0.0,0.125,0.125,0.125,0.0,0.125,0.25,0.125,0.625,0.125,0.125
72,0.875,1.0,1.0,0.375,0.0,0.25,0.0,0.25,0.0,0.25,0.125,0.25,0.5,0.0,0.0
73,0.875,1.0,1.0,0.25,0.0,0.125,0.125,0.125,0.0,0.375,0.0,0.25,0.625,0.125,0.125
