,Number of Sites Chosen,Starting Point,Magnetization,Standard Deviation,time (s),Ending Point
0,7,st: 1101000110001001,0.9966625,0.04619711672550571,5658.350937843323,st: 1111111111111111
1,7,st: 1111111111111111,0.998725,0.01255983180619868,5609.911430835724,st: 1111111111111111
2,7,st: 1111111111111111,0.8868625,0.17021557976210638,5528.565225601196,st: 0100111111111100
3,7,st: 0011111111110000,0.535725,0.2915078890441904,5502.289047956467,st: 0100000000000111
4,7,st: 1110000000000110,0.3901,0.2552819323806524,5515.814872980118,st: 0100111101011011
5,7,st: 1101101010110010,0.3297875,0.23512207966022675,5434.0005786418915,st: 1110101100000010
6,7,st: 0100000011010110,0.3087625,0.21959856805942518,5413.386599779129,st: 1110000111000000
7,7,st: 0000001111000111,0.2598375,0.19569213344881803,5457.318284273148,st: 1011111111110011
8,7,st: 1100111111111101,0.27,0.19453470127460548,5452.688709020615,st: 1110111100110010
9,7,st: 0100110011110111,0.257475,0.19260646244350163,5453.548001527786,st: 0000110000000110
10,7,st: 0110000010110000,0.2348125,0.17692414290805536,5481.498801231384,st: 0000111011111110
11,7,st: 0111110101110000,0.2312,0.17785966378018375,5436.012131214142,st: 0000100111100011
12,7,st: 1000011110010000,0.2388,0.178726914593186,5438.175997495651,st: 0110101101010101
13,7,st: 1010111011010110,0.243325,0.18230933704832564,5410.883031368256,st: 0111011100001011
14,7,st: 1101000011101100,0.22305,0.16816642798133044,5543.097886800766,st: 1101010100110101
