,temp=0.01,temp=2.8664285714285715,temp=5.722857142857143,temp=8.579285714285716,temp=11.435714285714287,temp=14.292142857142858,temp=17.148571428571433,temp=20.005000000000003,temp=22.861428571428576,temp=25.71785714285715,temp=28.57428571428572,temp=31.43071428571429,temp=34.28714285714286,temp=37.143571428571434,temp=40.0
0,0.25,1.0,0.5,0.0,0.25,0.0,0.0,0.125,0.375,0.125,0.375,0.0,0.25,0.0,0.125
1,0.375,1.0,0.625,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.5,0.125,0.375,0.125,0.25
2,0.25,0.875,0.5,0.0,0.0,0.0,0.0,0.125,0.125,0.375,0.375,0.125,0.25,0.25,0.125
3,0.375,0.875,0.5,0.125,0.125,0.125,0.125,0.25,0.0,0.25,0.25,0.0,0.125,0.125,0.25
4,0.5,0.875,0.625,0.0,0.0,0.0,0.0,0.375,0.125,0.125,0.125,0.125,0.0,0.25,0.125
5,0.375,1.0,0.75,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.25,0.25,0.0,0.125,0.0
6,0.5,1.0,0.75,0.25,0.25,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.25,0.125
7,0.5,1.0,0.75,0.125,0.25,0.375,0.125,0.25,0.0,0.0,0.0,0.25,0.0,0.125,0.0
8,0.5,1.0,0.75,0.25,0.375,0.375,0.25,0.375,0.125,0.125,0.125,0.125,0.125,0.0,0.0
9,0.5,1.0,0.75,0.125,0.25,0.25,0.125,0.375,0.0,0.25,0.0,0.25,0.25,0.125,0.125
10,0.5,1.0,0.75,0.25,0.375,0.125,0.25,0.25,0.125,0.125,0.125,0.125,0.125,0.0,0.0
11,0.375,1.0,0.75,0.375,0.25,0.0,0.375,0.375,0.0,0.0,0.25,0.0,0.0,0.125,0.125
12,0.375,1.0,0.75,0.25,0.375,0.125,0.5,0.5,0.125,0.125,0.375,0.125,0.125,0.125,0.0
13,0.375,1.0,0.625,0.125,0.25,0.0,0.375,0.625,0.0,0.25,0.5,0.25,0.0,0.0,0.125
14,0.375,1.0,0.75,0.25,0.125,0.125,0.5,0.75,0.0,0.125,0.625,0.125,0.125,0.0,0.0
15,0.375,1.0,0.75,0.125,0.125,0.25,0.375,0.75,0.125,0.25,0.5,0.25,0.25,0.125,0.125
16,0.375,0.875,0.75,0.25,0.0,0.25,0.5,0.625,0.0,0.375,0.375,0.375,0.125,0.25,0.0
17,0.375,0.875,0.75,0.375,0.125,0.125,0.625,0.75,0.125,0.25,0.5,0.375,0.0,0.125,0.125
18,0.375,0.75,0.625,0.375,0.0,0.0,0.5,0.625,0.25,0.125,0.625,0.5,0.125,0.125,0.0
19,0.25,0.75,0.625,0.25,0.125,0.0,0.625,0.625,0.375,0.0,0.5,0.375,0.0,0.0,0.125
20,0.375,0.75,0.75,0.375,0.0,0.125,0.5,0.5,0.25,0.125,0.375,0.25,0.125,0.125,0.0
21,0.375,0.75,0.625,0.25,0.125,0.0,0.375,0.375,0.125,0.0,0.25,0.125,0.25,0.25,0.125
22,0.25,0.75,0.75,0.375,0.125,0.125,0.25,0.25,0.25,0.125,0.125,0.25,0.125,0.125,0.25
23,0.375,0.75,0.625,0.375,0.25,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.25,0.25,0.375
24,0.5,0.75,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.125,0.25
25,0.5,0.75,0.75,0.125,0.375,0.125,0.125,0.125,0.125,0.125,0.375,0.125,0.25,0.0,0.125
26,0.625,0.625,0.625,0.0,0.25,0.0,0.0,0.0,0.125,0.25,0.25,0.125,0.125,0.125,0.25
27,0.625,0.75,0.75,0.0,0.125,0.125,0.125,0.125,0.0,0.375,0.375,0.0,0.0,0.25,0.375
28,0.5,0.875,0.75,0.125,0.0,0.25,0.25,0.25,0.125,0.5,0.25,0.125,0.125,0.375,0.5
29,0.5,0.75,0.625,0.25,0.125,0.125,0.375,0.25,0.25,0.375,0.125,0.0,0.25,0.5,0.625
30,0.625,0.75,0.75,0.125,0.25,0.25,0.5,0.125,0.125,0.5,0.25,0.125,0.375,0.375,0.75
31,0.625,0.75,0.75,0.25,0.375,0.25,0.375,0.25,0.25,0.375,0.125,0.25,0.25,0.5,0.625
32,0.75,0.75,0.625,0.375,0.25,0.125,0.25,0.125,0.125,0.25,0.25,0.375,0.375,0.375,0.75
33,0.75,0.625,0.625,0.5,0.125,0.25,0.375,0.25,0.0,0.375,0.25,0.25,0.25,0.5,0.625
34,0.75,0.5,0.625,0.625,0.25,0.375,0.25,0.125,0.125,0.25,0.375,0.125,0.25,0.375,0.75
