,Number of Sites Chosen,Starting Point,Magnetization,Standard Deviation,time (s),Ending Point
0,7,st: 0100100110001010,0.9974,0.03530389496925233,7022.4022517204285,st: 0000000000000000
1,7,st: 0000000000000000,0.6521375,0.2948084014979051,6259.434944152832,st: 1111011111011101
2,7,st: 1011101111001111,0.323075,0.22596469718741466,5675.249617099762,st: 1111011110000100
3,7,st: 0010000101101111,0.2459375,0.18409592226268892,5711.096547603607,st: 1000110111111011
4,7,st: 1101111010110001,0.2453125,0.18325587260371767,5640.169502735138,st: 0111100001111010
5,7,st: 0101111000010110,0.241425,0.18505463889078816,5786.787905216217,st: 0100110010010101
6,7,st: 1010101100110010,0.2213375,0.16626980662089555,6022.608961343765,st: 0001100101111111
7,7,st: 1101111010011000,0.216825,0.16496035698009384,5980.7163372039795,st: 1111111111100010
8,7,st: 0100011111111011,0.2178125,0.17106256850564944,5968.464894294739,st: 1111110101000000
9,7,st: 0000101010111111,0.213775,0.1656057045364078,5403.699056386948,st: 0010000101011010
10,7,st: 0001101010000100,0.216525,0.16636195290690717,5363.638433933258,st: 1001000111110110
11,7,st: 0100111110001001,0.2062875,0.15958001079004225,5334.442113876343,st: 0011011100101111
12,7,st: 1111010011101100,0.209875,0.16291097070179159,5333.940160751343,st: 1110011001011010
13,7,st: 0101101001100101,0.2137125,0.16578534266861472,5295.487576961517,st: 1101011010010010
14,7,st: 0100100101101111,0.2219,0.1672229499799594,5310.459252119064,st: 0101010110111000
