,kT,Magnetization
0,0.01,0.5
1,0.7989473684210526,0.125
2,1.5878947368421052,0.375
3,2.3768421052631576,0.25
4,3.1657894736842103,0.0
5,3.954736842105263,0.125
6,4.7436842105263155,0.125
7,5.532631578947369,0.0
8,6.321578947368421,0.625
9,7.110526315789473,0.0
10,7.899473684210526,0.25
11,8.688421052631579,0.125
12,9.477368421052631,0.0
13,10.266315789473683,0.0
14,11.055263157894737,0.0
15,11.84421052631579,0.5
16,12.633157894736842,0.125
17,13.422105263157894,0.5
18,14.211052631578946,0.0
19,15.0,0.0
